cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight,zraw
MSapappa:250,MSapappa,250,11552,-13448,100,109,11552,-16.8,235,332,32,363884,41.1
MSapappp:250,MSapappp,250,11707,-13293,179,181,11707,-25.1,294,327,31,326933,44.4
MSapp:115,MSapp,115,12907,-12093,950,950,12907,33.7,401,405,48,676458,20.7
MSappa:150,MSappa,150,11923,-13077,414,423,11923,22.9,387,372,40,404454,25
MSappaa:195,MSappaa,195,11620,-13380,200,229,11620,15.6,330,345,37,455855,28
MSappaaa:260,MSappaaa,260,11653,-13347,-312,-147,11653,18.8,323,337,27,246609,26.7
MSappaap:260,MSappaap,260,12448,-12552,275,545,12448,4.8,372,346,43,614506,32.3
MSappap:195,MSappap,195,11602,-13398,11,88,11602,25.3,368,357,34,375558,24.1
MSappapa:270,MSappapa,270,0,0,0,0,0,0,0,0,0,0,0
MSappapp:270,MSappapp,270,0,0,0,0,0,0,0,0,0,0,0
MSappp:150,MSappp,150,11918,-13082,352,357,11918,13.5,434,365,42,478254,28.9
MSapppa:198,MSapppa,198,11598,-13402,13,60,11598,-2.3,363,357,36,490798,35.2
MSapppaa:260,MSapppaa,260,11584,-13416,12,20,11584,-5,305,354,30,312716,36.3
MSapppap:260,MSapppap,260,12007,-12993,-105,167,12007,-17.3,347,351,33,370166,41.3
MSapppp:198,MSapppp,198,11757,-13243,-3,47,11757,-12.2,417,348,39,586070,39.2
MSappppa:260,MSappppa,260,11890,-13110,-2,11,11890,-25.7,374,353,27,277678,44.7
MSappppp:260,MSappppp,260,11976,-13024,75,85,11976,-19.7,413,340,30,310727,42.3
MSp:60,MSp,60,12223,-12777,547,547,12223,44.1,378,269,63,743263,16.5
MSpa:87,MSpa,87,12410,-12590,467,467,12410,55,299,273,55,497055,12
MSpaa:113,MSpaa,113,12137,-12863,338,338,12137,53.2,304,254,48,345908,12.8
MSpaaa:146,MSpaaa,146,11608,-13392,259,257,11608,38.5,274,230,43,317574,18.7
MSpaaaa:182,MSpaaaa,182,11727,-13273,347,346,11727,10.9,193,213,38,483865,29.9
MSpaaaaa:230,MSpaaaaa,230,11489,-13511,96,83,11489,5.6,151,220,31,406052,32
MSpaaaaaa:330,MSpaaaaaa,330,0,0,0,0,0,0,0,0,0,0,0
MSpaaaaap:330,MSpaaaaap,330,0,0,0,0,0,0,0,0,0,0,0
MSpaaaap:230,MSpaaaap,230,11440,-13560,61,54,11440,-7.2,186,241,34,355910,37.2
MSpaaaapa:290,MSpaaaapa,290,0,0,0,0,0,0,0,0,0,0,0
MSpaaaapp:290,MSpaaaapp,290,0,0,0,0,0,0,0,0,0,0,0
MSpaaap:182,MSpaaap,182,11577,-13423,209,203,11577,-5.2,249,204,38,493813,36.4
MSpaaapa:235,MSpaaapa,235,11387,-13613,10,13,11387,-23.1,215,242,31,321225,43.6
MSpaaapaa:320,MSpaaapaa,320,0,0,0,0,0,0,0,0,0,0,0
MSpaaapap:320,MSpaaapap,320,0,0,0,0,0,0,0,0,0,0,0
MSpaaapp:235,MSpaaapp,235,11390,-13610,-7,-10,11390,-23.6,260,244,32,306041,43.9
MSpaaappa:300,MSpaaappa,300,0,0,0,0,0,0,0,0,0,0,0
MSpaaappp:300,MSpaaappp,300,0,0,0,0,0,0,0,0,0,0,0
MSpaap:146,MSpaap,146,11334,-13666,28,31,11334,39.1,337,261,41,267880,18.5
MSpaapa:190,MSpaapa,190,11128,-13872,-138,-131,11128,8.2,259,224,39,474973,30.9
MSpaapaa:247,MSpaapaa,247,11223,-13777,-86,-91,11223,-2.1,219,209,30,310645,35.2
MSpaapaaa:325,MSpaapaaa,325,0,0,0,0,0,0,0,0,0,0,0
MSpaapaap:325,MSpaapaap,325,0,0,0,0,0,0,0,0,0,0,0
MSpaapap:247,MSpaapap,247,11233,-13767,-74,-81,11233,-4.2,262,221,36,384658,36
MSpaapapa:305,MSpaapapa,305,0,0,0,0,0,0,0,0,0,0,0
MSpaapapp:305,MSpaapapp,305,0,0,0,0,0,0,0,0,0,0,0
MSpaapp:190,MSpaapp,190,11403,-13597,7,6,11403,-5.7,333,222,32,347076,36.6
MSpap:113,MSpap,113,12035,-12965,243,246,12035,62.1,385,288,49,300248,9.2
MSpapa:146,MSpapa,146,11434,-13566,131,135,11434,64.3,382,264,43,193374,8.3
MSpapaa:182,MSpapaa,182,11294,-13706,88,86,11294,37.4,334,224,39,265735,19.2
MSpapaaa:244,MSpapaaa,244,11276,-13724,-22,-27,11276,32.9,298,229,33,314063,21
MSpapaaaa:280,MSpapaaaa,280,0,0,0,0,0,0,0,0,0,0,0
MSpapaaap:280,MSpapaaap,280,0,0,0,0,0,0,0,0,0,0,0
MSpapaap:244,MSpapaap,244,11415,-13585,14,6,11415,6.4,328,211,34,335648,31.7
MSpapaapa:275,MSpapaapa,275,0,0,0,0,0,0,0,0,0,0,0
MSpapaapaa:385,MSpapaapaa,385,0,0,0,0,0,0,0,0,0,0,0
MSpapaapap:385,MSpapaapap,385,0,0,0,0,0,0,0,0,0,0,0
MSpapaapp:275,MSpapaapp,275,0,0,0,0,0,0,0,0,0,0,0
MSpapap:182,MSpapap,182,11195,-13805,20,18,11195,50.4,381,232,37,199681,13.9
