cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABplapappp:95,ABplapappp,95,5112,-19887,-255,-207,5112,24.6,120,298,33,412074
ABplapp:33,ABplapp,33,6401,-18598,92,156,6401,43.8,404,294,51,1136666
ABplappa:50,ABplappa,50,6061,-18938,56,51,6061,46.6,398,335,45,761838
ABplappaa:72,ABplappaa,72,5347,-19652,-30,-35,5347,37.7,299,401,40,632352
ABplappaaa:101,ABplappaaa,101,4999,-20000,-94,-78,4999,31.8,258,394,34,527460
ABplappaap:101,ABplappaap,101,5009,-19990,-171,-124,5009,29.8,220,383,34,515630
ABplappap:72,ABplappap,72,5497,-19502,61,61,5497,40.5,244,380,40,639477
ABplappapa:100,ABplappapa,100,6825,-18174,1353,1368,6825,45.4,221,366,34,563423
ABplappapp:100,ABplappapp,100,7291,-17708,1913,1917,7291,33.2,182,368,34,532820
ABplappp:50,ABplappp,50,5962,-19037,-54,-13,5962,41.5,337,326,44,670273
ABplapppa:73,ABplapppa,73,5341,-19658,-29,-32,5341,36.7,208,367,36,556404
ABplapppaa:104,ABplapppaa,104,5057,-19942,-166,-179,5057,22.5,173,335,33,432317
ABplapppaaa:157,ABplapppaaa,157,5156,-19843,-552,-356,5156,25.2,143,320,32,415949
ABplapppaap:157,ABplapppaap,157,4987,-20012,-23,-3,4987,20.0,122,314,27,272500
ABplapppap:104,ABplapppap,104,5016,-19983,-225,-217,5016,19.7,171,315,32,291600
ABplapppapa:144,ABplapppapa,144,5096,-19903,-194,31,5096,13.2,155,291,27,248634
ABplapppapp:144,ABplapppapp,144,4852,-20147,-336,-325,4852,16.4,158,273,29,203921
ABplapppp:73,ABplapppp,73,5381,-19618,-48,-5,5381,29.6,173,358,37,477387
ABplappppa:105,ABplappppa,105,4904,-20095,-101,-55,4904,16.6,142,319,32,399445
ABplappppp:105,ABplappppp,105,4960,-20039,-216,-171,4960,13.8,140,277,32,320716
ABplp:7,ABplp,7,6864,-18135,796,794,6864,43.2,347,363,64,2416435
ABplpa:18,ABplpa,18,6406,-18593,268,268,6406,42.1,368,396,58,1894218
ABplpaa:34,ABplpaa,34,6074,-18925,-225,-224,6074,49.0,399,380,51,1256296
ABplpaaa:51,ABplpaaa,51,5882,-19117,-64,-63,5882,40.9,510,397,45,743043
ABplpaaaa:71,ABplpaaaa,71,5226,-19773,-78,-86,5226,26.6,519,409,38,462488
ABplpaaaaa:96,ABplpaaaaa,96,4981,-20018,-104,-112,4981,26.0,475,386,33,536876
ABplpaaaaaa:139,ABplpaaaaaa,139,4722,-20277,-61,-81,4722,22.2,507,377,29,462291
ABplpaaaaap:139,ABplpaaaaap,139,4738,-20261,-86,-111,4738,25.1,470,384,31,498134
ABplpaaaap:96,ABplpaaaap,96,4932,-20067,-55,-73,4932,24.0,424,409,34,485410
ABplpaaaapa:135,ABplpaaaapa,135,4670,-20329,-33,-34,4670,15.1,378,367,29,267832
ABplpaaaapp:135,ABplpaaaapp,135,4671,-20328,-28,-24,4671,14.9,331,367,31,328355
ABplpaaap:71,ABplpaaap,71,5200,-19799,-8,-10,5200,21.6,472,412,37,395536
ABplpaaapa:97,ABplpaaapa,97,4883,-20116,-36,-41,4883,24.5,433,418,34,533519
ABplpaaapaa:146,ABplpaaapaa,146,4676,-20323,0,4,4676,18.7,483,406,29,444114
ABplpaaapap:146,ABplpaaapap,146,4694,-20305,-78,-73,4694,23.0,463,413,29,463885
ABplpaaapp:97,ABplpaaapp,97,4934,-20065,-86,-96,4934,27.5,394,409,35,554145
ABplpaaappa:133,ABplpaaappa,133,4731,-20268,-4,-23,4731,20.0,452,388,31,464644
ABplpaaappp:133,ABplpaaappp,133,4757,-20242,-65,-112,4757,23.6,433,387,29,412285
ABplpaap:51,ABplpaap,51,5830,-19169,-149,-151,5830,41.9,442,384,44,678337
ABplpaapa:71,ABplpaapa,71,5202,-19797,-78,-79,5202,28.8,449,413,37,477805
ABplpaapaa:98,ABplpaapaa,98,4962,-20037,-106,-123,4962,30.4,448,386,34,635539
ABplpaapaaa:143,ABplpaapaaa,143,4736,-20263,-108,-115,4736,27.2,500,376,32,577892
ABplpaapaap:143,ABplpaapaap,143,4815,-20184,-70,-95,4815,30.2,460,399,29,441156
